User,Retweet Count
AlexBonade,123035
kendalllwalker,107804
Macy_McD14,107804
melanie_gix,67426
AalaaKhattab,47028
SugaMarla,43052
cateleipply,32161
_bleeezy,22106
DaltonJJones19,22106
kar_rattE,22106
