User,Tweet Count
berelowell,5
sci3nce_dad,3
dora_nlk,3
aina_aar,2
InezCopperfield,2
MaasiPanguni,2
ICENorm,2
zain_7861,2
briannalnicole,2
Jenny_est97,2
