User,Followers
VOANews,1567746
TheTorontoSun,289573
ComedyCentralUK,246291
ShalyahEvans,169290
CineplexMovies,160669
_bankista,134174
screenrant,107544
Cumberbuddy,57354
wgtc_site,51262
azalben,47922
