,text,retweetCount
104,Avengers Infinity War Emojis . # Avengers # InfinityWar # AvengersInfinityWar # BlackPanther… https : //t.co/GdZyHEBjYu,0
105,Until @ Avengers Infinity War Comes Out On May 4th I 'm Saying This Now @ theblackpanther Is The Greatest… https : //t.co/3A6NUcRJSD,0
41,@ Avengers @ captainmarvel I love you,0
14,Not quite . We 're going to go backwards and open other dimensions before that in Ant Man & amp ; The Wasp ... Before Dr. St… https : //t.co/OTyLeFHdf8,0
82,Hold up ! ! ! ! Nick Fury tells the Avengers what to do ! https : //t.co/5v4JIih16m,0
46,If you haven ’ t seen all the MCU movies please don ’ t say Black Panther is the best marvel movie . Cause it ’ s not . It ’ … https : //t.co/usS1huTGPh,0
37,Check out Disney Playmation Marvel Avengers Repulsor Gear Mark II - New in sealed box # Disney https : //t.co/WdfpY7ap1W via @ eBay,0
48,@ Skrill_Dilly probably goner be Captain Marvel and that probably means avengers 4 really 😕,0
49,The fucking Avengers of women 's curling ! https : //t.co/eGsjFiR0Cy,0
36,they asked daniel if he rather be hunted down by the dora milaje or the avengers and he was like the avengers black… https : //t.co/4ZwsH3aCGN,0
35,@ EX0DIUUS black panther & gt ; avengers ?,0
34,I have not seen a Marvel movie since the first avengers which I didn ’ t even like yet I am actually considering seeing black panther .,0
33,the @ Avengers is by far my fav marvel movie !,0
29,I ’ m Calling it right now.Avengers Infinity war is going to be good but ... .Thanos is going to be meh.They ’ ve had… https : //t.co/r8WPLLoFIr,0
64,Kid appropriate ? My 6 year old loves Avengers ( along with the WWE ... do n't judge ... ) https : //t.co/qig6w6ZS6B,0
65,I voted for # TeamJusticeLeague on @ TheTylt—no heroes serve justice like @ justiceleaguewb https : //t.co/5hHU8LwsbO https : //t.co/Xc4A0SZ5hs,0
28,@ MarvelStudios did again with the utterly brilliant # blackpanther 💜🖤 now roll on # AvengersInfinityWar… https : //t.co/xYC94lRfqo,0
23,How to make a poster for Avengers : Infinity War in HTML and CSS https : //t.co/XmVgaV5kAo,0
70,Avengers Infinity War ad reveals Thanos has THESE Stones – It means this hero DOES N'T die ? THE NEWS - GROUP OF WORL… https : //t.co/jnfRiYhrX8,0
73,I liked a @ YouTube video https : //t.co/EYIi3RpMzL Black Panther Review - Does It Live Up To Avengers Hype,0
74,I liked a @ YouTube video https : //t.co/E29KNc2pbF Black Panther Review - Does It Live Up To Avengers Hype,0
19,@ sadsackjetsfan Iron manAvengersCivil warDead poolRagnarock,0
77,Marvel is deep in their bag . Avengers : Infinity War is about to do the same or more . https : //t.co/wLXkzv9lPC,0
78,@ DiscreetDiam0nd I have avoided the Avengers CW trailer and Black Panther till now . Oh and Justic League .,0
18,"@ DLicious1515 Sorry , I LOVE all of those movies . Saw them gazillion times . I watch Winter Soldier when I am sad , an… https : //t.co/KcfSMIJm9i",0
