,User,count
4,downeysduckling,3
0,AdrianCamaril10,1
1,Fake_Ocean,1
2,InnerDemonsGR,1
3,altijira,1
5,littlepunkryo,1
6,namkooksbaeber,1
7,rainbowcrisp,1
