,User,Followers
6,downeysduckling,55141
8,namkooksbaeber,2841
1,Fake_Ocean,868
3,rainbowcrisp,311
2,littlepunkryo,182
5,InnerDemonsGR,179
0,AdrianCamaril10,45
4,altijira,21
