,User,count
52,downeysduckling,13
74,rainbowcrisp,2
51,dgk1987,2
10,DTHalliday,2
31,Seankitskit,2
54,ezak8828,1
60,keyawnce,1
59,kaidante_,1
58,jrosekonungrinn,1
57,itisbxxx97,1
