,User,count
0,AlexSau47839792,1
1,AyaPritaBelia,1
2,DestinyDreadful,1
3,JeanBarragan05,1
4,The_Green_City,1
5,_marsh_y,1
6,chelseaaaaliz,1
7,cjeezy_26,1
8,curlyyonce,1
9,worldherostore,1
