,User,Followers
8,curlyyonce,2034
5,AyaPritaBelia,1316
9,DestinyDreadful,1077
2,The_Green_City,804
7,cjeezy_26,754
4,chelseaaaaliz,495
1,_marsh_y,458
6,AlexSau47839792,428
0,worldherostore,148
3,JeanBarragan05,66
