,User,count
50,downeysduckling,13
79,valor_club,2
46,bwayruffalo,2
7,DTHalliday,2
49,dgk1987,2
53,greatbatsby,2
0,AdrianCamaril10,1
54,itisbxxx97,1
60,littlepunkryo,1
59,lindaamj,1
