User,Retweet Count
imrasool,239941
carvcrf,239941
handakotaaa,78031
arguspilots,78031
Vairons_Berywam,49037
supershawarma00,45371
TheGreenReaper9,45371
DesanChandiran,45371
joinlasc,45371
nejatalbere,45371
