,TweetText,RetweetCount
6,RT @ FiImFeed : Confirmed characters to appear in Avengers : Infinity War https : //t.co/OsJqoWpRvr,39542
1,RT @ iamgeekingout : when you realize avengers infinity war is next in our 2018 list https : //t.co/dfsHKHXxpJ,10469
7,RT @ GeeksOfColor : Avengers : We need someone to distract Thanos T ’ Challa and Star-lord : https : //t.co/NuWZrpjEqJ,5604
3,"RT @ DeviantArt : A red wash across the Avengers not only indicates the danger they are rushing toward , but also delivers a serious tone . htt…",68
4,RT @ sierrahmlara : Im so excited for the next avengers now lmao,6
0,Like and Share if you want this The Avengers 2017 Boys Clothes Set Hero Kids ... https : //t.co/RIo3tRlZA4 https : //t.co/jkVBWmflC2,0
2,@ Karnythia I was introduced to him from Nick Spencer 's Avengers run . ( That 's also really what introduced me to the… https : //t.co/0TK9J1t27Q,0
5,i write a long-ass piece about how dick Thanos is . read things that you should anticipate in Avengers : Infinity Wa… https : //t.co/YQRbakZ0di,0
